2024-07-30 17:43:24,054 INFO    StreamThr :13985 [internal.py:wandb_internal():85] W&B internal server running at pid: 13985, started at: 2024-07-30 17:43:24.053306
2024-07-30 17:43:24,055 DEBUG   HandlerThread:13985 [handler.py:handle_request():158] handle_request: status
2024-07-30 17:43:24,061 INFO    WriterThread:13985 [datastore.py:open_for_write():87] open: /Users/seongyeon/Desktop/AI/AIFFEL/MLOps/model_registry_wandb/wandb/run-20240730_174324-9zq9nl3o/run-9zq9nl3o.wandb
2024-07-30 17:43:24,061 DEBUG   SenderThread:13985 [sender.py:send():379] send: header
2024-07-30 17:43:24,083 DEBUG   SenderThread:13985 [sender.py:send():379] send: run
2024-07-30 17:43:24,575 INFO    SenderThread:13985 [dir_watcher.py:__init__():211] watching files in: /Users/seongyeon/Desktop/AI/AIFFEL/MLOps/model_registry_wandb/wandb/run-20240730_174324-9zq9nl3o/files
2024-07-30 17:43:24,575 INFO    SenderThread:13985 [sender.py:_start_run_threads():1188] run started: 9zq9nl3o with start time 1722329004.054916
2024-07-30 17:43:24,584 DEBUG   HandlerThread:13985 [handler.py:handle_request():158] handle_request: check_version
2024-07-30 17:43:24,584 DEBUG   SenderThread:13985 [sender.py:send_request():406] send_request: check_version
2024-07-30 17:43:24,630 DEBUG   HandlerThread:13985 [handler.py:handle_request():158] handle_request: run_start
2024-07-30 17:43:24,635 DEBUG   HandlerThread:13985 [system_info.py:__init__():26] System info init
2024-07-30 17:43:24,636 DEBUG   HandlerThread:13985 [system_info.py:__init__():41] System info init done
2024-07-30 17:43:24,636 INFO    HandlerThread:13985 [system_monitor.py:start():194] Starting system monitor
2024-07-30 17:43:24,636 INFO    SystemMonitor:13985 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-30 17:43:24,636 INFO    HandlerThread:13985 [system_monitor.py:probe():214] Collecting system info
2024-07-30 17:43:24,638 INFO    SystemMonitor:13985 [interfaces.py:start():188] Started cpu monitoring
2024-07-30 17:43:24,640 INFO    SystemMonitor:13985 [interfaces.py:start():188] Started disk monitoring
2024-07-30 17:43:24,642 INFO    SystemMonitor:13985 [interfaces.py:start():188] Started gpuapple monitoring
2024-07-30 17:43:24,643 INFO    SystemMonitor:13985 [interfaces.py:start():188] Started memory monitoring
2024-07-30 17:43:24,643 INFO    SystemMonitor:13985 [interfaces.py:start():188] Started network monitoring
2024-07-30 17:43:25,031 DEBUG   HandlerThread:13985 [system_info.py:probe():152] Probing system
2024-07-30 17:43:25,036 DEBUG   HandlerThread:13985 [system_info.py:_probe_git():137] Probing git
2024-07-30 17:43:25,060 DEBUG   HandlerThread:13985 [system_info.py:_probe_git():145] Probing git done
2024-07-30 17:43:25,061 DEBUG   HandlerThread:13985 [system_info.py:probe():200] Probing system done
