id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
12,2024-07-30 06:02:08.390820,6.4,2.7,5.3,1.9,2
11,2024-07-30 06:02:07.386373,5.6,2.5,3.9,1.1,1
10,2024-07-30 06:02:06.380114,6.1,3.0,4.9,1.8,2
9,2024-07-30 06:02:05.375092,7.7,3.0,6.1,2.3,2
8,2024-07-30 06:02:04.369931,5.7,3.8,1.7,0.3,0
7,2024-07-30 06:02:03.365989,5.1,3.5,1.4,0.3,0
6,2024-07-30 06:02:02.361910,6.5,3.0,5.8,2.2,2
5,2024-07-30 06:02:01.354419,4.4,3.0,1.3,0.2,0
4,2024-07-30 06:02:00.347054,6.3,2.3,4.4,1.3,1
3,2024-07-30 06:01:59.344419,6.3,2.5,4.9,1.5,1
2,2024-07-30 06:01:58.340906,7.4,2.8,6.1,1.9,2
1,2024-07-30 06:01:57.332271,6.3,2.5,5.0,1.9,2
